Local ID,County,Municipality,On,From,To,Approach,Direction,AADT Year,AADT,AADT Cars,AADT Trucks,Location
530185,Erie,Tonawanda,MAIN ST,TONAWANDA CITY LN,FLETCHER ST,BETWEEN,2-WAY,1991,10600,,,"(43.013563, -78.879433)"
530201,Erie,Aurora,DAVIS RD,BEHM RD,MILL RD,BETWEEN,2-WAY,2008,2600,,,"(42.707889, -78.681743)"
530290,Erie,Cheektowaga,UNION RD,FRENCH RD,LOSSON RD,BETWEEN,2-WAY,1981,24300,,,"(42.875084, -78.753519)"
530357,Erie,Amherst,LOCKPORT EXPWY,I-290,UB ACCESS,BETWEEN,2-WAY,1984,21500,,,"(43.001819, -78.803451)"
530442,Erie,Hamburg,CAMP RD,LEGION DR,I-90,BETWEEN,2-WAY,1982,15100,,,"(42.735571, -78.84068)"
530453,Erie,Marilla,CLINTON ST,TWO ROD RD (954G),WYOMING CO LN,BETWEEN,2-WAY,1979,1700,,,"(42.857949, -78.525344)"
530472,Erie,Tonawanda,DELAWARE AVE,YOUNG ST,NIAGARA CO LN,BETWEEN,2-WAY,1984,9900,,,"(43.02143, -78.875439)"
530577,Erie,Amherst,YOUNGMANN EXPWY,RT 62 NF BLVD,I-990,,2-WAY,1986,68200,,,"(43.00163, -78.813601)"
532066,Erie,Aurora,JEWETT-HOLMWOOD,DAVIS RD,GROVER RD,,2-WAY,2004,8100,,,"(42.753094, -78.666787)"
534144,Erie,Lancaster,CENTRAL AVE,CONRAIL R R,WALDEN AV,,2-WAY,1997,19000,,,"(42.913949, -78.672141)"
534467,Erie,Elma,JAMISON RD,MAPLE ST,SCHULTZ RD,,2-WAY,2007,5200,,,"(42.804965, -78.621211)"
534522,Erie,Hamburg,LAKE VIEW RD,BURKE RD,RT 20 SOUTHWESTERN BLVD,,2-WAY,2006,4400,,,"(42.707391, -78.922219)"
534577,Erie,HAMBURG,MCKINLEY PKWY,LAKE AV,WILLET RD,BETWEEN,,2021,5260,,,"(42.802133, -78.810848)"
534598,Erie,BUFFALO,MICHIGAN AVE,VIRGINIA ST,HIGH ST,BETWEEN,,2023,7818,,,
534619,Erie,Amherst,N FOREST RD,MAPLE RD,HEIM RD,,2-WAY,1979,11500,,,"(43.005452, -78.763264)"
534619,Erie,AMHERST,N FOREST RD,MAPLE RD,HEIM RD,BETWEEN,,2022,13961,,,"(43.005452, -78.763264)"
534721,Erie,Clarence,RANSOM RD,CLARENCE TN LN,RT 5 MAIN ST,,2-WAY,1985,2900,,,"(42.97322, -78.592372)"
534882,Erie,Amherst,WEHRLE DR,CAYUGA RD,AERO DR,,2-WAY,2000,23600,,,"(42.949575, -78.740838)"
536332,Erie,Alden,WENDE RD,NORTH RD,WALDEN AVE,,2-WAY,2013,3062,,,"(42.93283, -78.540271)"
540001,Niagara,Lockport,DYSINGER RD,BEATTIE AV,AKRON RD,,2-WAY,2011,6125,,,"(43.130525, -78.639974)"
540046,Niagara,Lewiston,MILITARY RD,RT 31 WITMER RD,I-190,,2-WAY,1988,6800,,,"(43.135563, -79.016604)"
540113,Niagara,Niagara Falls,WHIRLPOOL BRIDGE,USA,CANADA,,2-WAY,2012,1599,1599,0,"(43.109232, -79.058196)"
540396,Niagara,North Tonawanda,RIVER RD,NIAGARA CO LN,RT 384 MAIN ST,,2-WAY,1999,19800,,,"(43.025935, -78.879685)"
540498,Niagara,Wheatfield,WARD RD,RT 62 NF BLVD,NIAGARA RD,,2-WAY,1993,6000,,,"(43.097446, -78.889757)"
540501,Niagara,"LEWISTON, CAMBRIA",TOWN LINE RD,UPPER MTN RD,RT 104 RIDGE RD,,2-WAY,1999,4200,,,"(43.179064, -78.88536)"
544081,Niagara,Lockport,HIGH ST,WASHBURN ST,AKRON RD,,2-WAY,2006,6400,,,"(43.164313, -78.680295)"
544231,Niagara,Niagara Falls,THIRD ST,RT 104 MAIN ST,WHIRLPOOL ST,,2-WAY,2013,2574,2528,45,"(43.094976, -79.059615)"
546085,Niagara,Hartland,SEAMAN RD,DRUM RD,CARMEN RD,,2-WAY,2016,179,161,17,"(43.281327, -78.500023)"
546131,Niagara,Niagara,LOCKPORT RD,MILLER RD,HASELEY DR,,2-WAY,2006,4700,,,"(43.122022, -78.972009)"
541001EB,Niagara,NIAGARA FALLS,NIAGARA ST,5TH ST,QUAY ST,BETWEEN,,2021,2441,,,"(43.088524, -79.054798)"
534894,Erie,Grand Island,WHITEHAVEN RD,I-190 NB ACC,BASE LINE RD,,2-WAY,1982,2900,,,"(43.021618, -78.971561)"
530187,Erie,Eden,GOWANDA RD,RT 249 BRANT RD,CR 32 EDEN CENTER,BETWEEN,2-WAY,2020,4429,4044,384,"(42.628158, -78.921955)"
534169,Erie,Orchard Park,COLE RD,WARD RD,RT 240 ELLICOTT RD,,2-WAY,2016,1436,1338,97,"(42.711646, -78.718087)"
530051,Erie,West Seneca,SENECA ST(RT 16),RT 400 EXPWY,RT 240 HARLEM RD,BETWEEN,2-WAY,2008,15550,,,"(42.842426, -78.788559)"
534859,Erie,Buffalo,VIRGINIA ST,RT 266 NIAGARA ST,WEST AV,,1-WAY,2002,4400,,,"(42.894236, -78.883241)"
540930,Niagara,Porter,ROBT MOSES PKWY,ROBERT MOSES PKWY,FORT NIAGARA ENT,BETWEEN,2-WAY,1992,860,,,"(43.264675, -79.044896)"
544241,Niagara,Niagara Falls,TUSCARORA RD,CAYUGA DR,RT 62 NF BLVD,,2-WAY,1994,7200,,,"(43.090679, -78.963042)"
536333,Erie,Alden,ALD-CRITTEN RD,NORTH RD,RT 33 GENESEE ST,,2-WAY,2005,2900,,,"(42.933615, -78.493986)"
540327,Niagara,Lockport,ROBINSON RD,RT 78 TRANSIT RD,BEATTIE AV,,2-WAY,2014,15548,,,"(43.132133, -78.688864)"
540015,Niagara,Niagara Falls,HYDE PARK BLVD,RT 62A PINE AV,START RT 182 OLAP,,2-WAY,2010,14150,,,"(43.100393, -79.026584)"
536305,Erie,Concord,ZOAR VALLEY RD,GROTH RD,TREVETT RD,,2-WAY,,,,,"(42.475048, -78.740246)"
530072,Erie,Hamburg,S WESTERN BLVD,RT 75 CAMP RD,RT 62 SOUTH PARK AV,BETWEEN,2-WAY,1998,23800,,,"(42.757096, -78.839951)"
530005,Erie,Cheektowaga,GENESEE ST,HOLTZ RD,RT 78 TRANSIT RD,BETWEEN,2-WAY,1980,24000,,,"(42.937009, -78.709627)"
534439,Erie,Cheektowaga,HOLTZ DR,RT 33 GENESEE ST,AERO DR,,2-WAY,2011,9803,,,"(42.938171, -78.717556)"
536248,Erie,North Collins,NEW OREGON RD,LANGFORD RD,BOSTON RD,,2-WAY,2015,405,,,"(42.595404, -78.793285)"
545115,Niagara,North Tonawanda,Niagara Pkwy,Evans St,Bennett St,,2-WAY,2015,475,,,"(43.0398, -78.86945)"
546054,Niagara,Royalton,GRISWOLD RD,MANN RD,RT 77 LEWISTON RD,,2-WAY,1999,840,,,"(43.127677, -78.49706)"
536185,Erie,Clarence,COUNTY RD,RT 78 TRANSIT RD,STAHLEY RD,,2-WAY,1996,4500,,,"(43.033317, -78.692708)"
530916,Erie,Tonawanda,GRAND ISLAND BLVD,RIVER RD,ACC TO I-190,,2-WAY,2009,1275,,,"(42.994525, -78.931339)"
531011,Erie,WEST SENECA,RESERVE RD,RT 240 ORCHARD PARK RD,RT 277 UNION RD,BETWEEN,,2022,4264,,,"(42.811315, -78.756574)"
534000,Erie,Orchard Park,ABBOTT RD,ORCHARD PARK TOWN LN,RT 20A BIG TREE RD,,2-WAY,2000,5300,,,"(42.762103, -78.792965)"
530948,Erie,Amherst,SWEET HOME RD,MAPLE RD,RENSCH RD,BETWEEN,2-WAY,1991,17600,,,"(42.996389, -78.800401)"
540111,Niagara,Niagara Falls,RAINBOW BRIDGE,USA,CANADA,,2-WAY,1991,13469,13457,12,"(43.090411, -79.068238)"
540421,Niagara,Royalton,S MAIN ST,RT 31 ROCHESTER RD/START OLAP RT 271 MAIN ST,END OLAP RT 271 MAIN ST,,2-WAY,1997,3300,,,"(43.208998, -78.476522)"
535190,Erie,Tonawanda,Neumann Pkwy,Colvin blvd,Belmont Ave,,2-WAY,2014,526,,,"(42.978817, -78.857476)"
534321,Erie,BUFFALO,FERRY ST (WEST),RICHMOND AV,ELMWOOD AV,BETWEEN,,2021,5895,,,"(42.95144, -78.87849)"
534574,Erie,Hamburg,MCKINLEY PKWY,QUINBY DR,SOWLES/BAYVIEW RDS,,2-WAY,2006,11000,,,"(42.745523, -78.812375)"
534717,Erie,Buffalo,PROSPECT ST,MASSACHUSETTS AV,RT 266 NIAGARA ST,,1-WAY,2012,1308,1271,36,"(42.909134, -78.897886)"
544030,Niagara,Lockport,BEATTIE AVE,WILLOW ST,HIGH ST,,2-WAY,2011,4185,2339,1845,"(43.162734, -78.680576)"
537064,Erie,Wales,WARNER HILL RD,NY 16,VERMONT HILL RD,,2-WAY,2013,628,,,"(42.704948, -78.572735)"
530190,Erie,Hamburg,SOUTH PARK AVE,N VILL LN,RT 20 SOUTHWESTERN BLVD,BETWEEN,2-WAY,1998,17200,,,"(42.730795, -78.825558)"
534092,Erie,Boston,BOSTON-COLDEN RD,COLE RD,BOSTON/COLDEN TOWN LN,,2-WAY,2011,1173,1106,66,"(42.634843, -78.707101)"
530271,Erie,Lancaster,TRANSIT RD,I-90 NYS THRUWAY,WEHRLE DR,BETWEEN,2-WAY,2000,40400,,,"(42.953727, -78.696935)"
534825,Erie,Buffalo,SYCAMORE ST,MICHIGAN AV,JEFFERSON AV,BETWEEN,2-WAY,1983,3700,,,"(42.89192, -78.85745)"
534161,Erie,Hamburg,CLARK ST,MCKINLEY PKWY,ABBOTT RD,BETWEEN,2-WAY,1997,8700,,,"(42.73507, -78.804809)"
530925,Erie,Aurora,OLEAN RD,START OLAP RT 16/400 EXPWY,END OLAP RT 16/400 EXPWY,,2-WAY,1985,7550,,,"(42.731213, -78.591256)"
