carat,cut,clarity,depth,table,price,x,y,z
0.23,2,3,83,29,326,26,28,24
0.21,3,2,66,89,326,20,14,12
0.23,1,4,37,113,327,36,38,12
0.29,3,5,92,59,334,51,54,44
0.31,1,3,101,59,335,65,66,56
0.24,4,7,96,49,336,25,26,29
0.24,4,6,91,49,336,26,28,28
0.3,2,2,88,39,605,38,42,34
0.22,0,5,119,89,337,18,10,30
0.23,4,4,62,89,338,31,36,20
0.3,1,2,108,29,339,56,59,54
0.23,2,4,96,39,340,24,20,27
0.22,3,2,72,89,342,19,14,14
0.31,2,3,90,19,344,66,68,52
0.2,3,3,70,99,345,11,8,8
0.32,3,0,77,59,345,69,73,49
0.3,2,3,88,19,348,62,65,49
0.3,1,2,102,19,351,54,60,51
0.3,1,2,106,39,351,54,57,52
0.3,4,2,95,69,351,52,58,47
0.3,1,3,101,39,351,57,61,52
0.23,4,5,106,29,352,16,22,29
0.23,4,4,78,49,353,25,26,22
0.31,4,2,62,99,353,70,74,43
0.31,4,2,49,99,353,75,78,40
0.23,4,7,72,59,354,28,32,22
0.24,3,4,93,49,355,28,24,28
0.3,4,5,90,49,357,59,61,48
0.23,4,5,73,89,357,27,27,21
0.23,4,4,77,49,357,27,29,23
0.23,4,4,68,49,402,31,34,22
0.23,4,4,66,49,402,35,37,23
0.23,4,4,75,69,402,28,32,23
0.23,4,4,63,59,402,32,37,21
0.23,4,4,87,59,402,23,26,25
0.23,1,4,50,69,402,37,39,18
0.23,1,4,109,69,402,14,15,27
0.31,1,2,108,19,402,60,62,56
0.26,4,5,76,69,403,44,47,33
0.33,2,3,86,29,403,80,82,59
0.33,2,3,80,39,403,80,81,56
0.33,2,2,79,39,403,80,86,57
0.26,1,5,120,39,403,30,33,42
0.26,1,4,52,107,403,50,55,27
0.32,1,3,99,39,403,65,68,56
0.3,3,2,88,59,605,55,57,51
0.32,4,3,86,29,403,66,73,52
0.32,1,3,106,39,403,67,69,60
0.25,4,5,101,79,404,31,34,35
0.29,4,3,75,79,404,64,68,45
0.3,2,2,88,89,404,68,34,26
0.23,2,4,87,19,404,24,25,25
0.32,2,2,77,29,404,76,79,53
0.22,3,5,84,59,404,24,19,22
0.22,3,5,61,99,404,22,18,12
0.3,2,3,78,69,405,61,64,44
0.3,3,3,61,89,405,74,69,42
0.3,4,2,94,49,405,56,59,48
0.3,4,2,98,49,405,59,63,52
0.3,1,2,100,29,405,56,60,51
0.35,2,4,77,49,552,85,90,59
0.3,3,2,88,69,552,54,58,51
0.3,2,2,93,49,552,60,63,50
